Comment,Designator,Footprint,LCSC,Quantity
0,"R105,R106,R112,R113",R_0402_1005Metric,C17168,4
1.2pF,"C14,C27",C_0402_1005Metric,C72135,2
100,"R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98",R_0402_1005Metric,C25076,32
100k,"R1,R104,R11,R116,R117,R13,R15,R17,R19,R21,R23,R25,R27,R29,R3,R31,R33,R35,R37,R39,R41,R43,R45,R47,R49,R5,R51,R53,R55,R57,R59,R61,R63,R7,R9,R99",R_0402_1005Metric,C25741,36
100nF,"C1,C10,C12,C13,C15,C16,C17,C19,C2,C31,C7,C8",C_0402_1005Metric,C307331,12
1017457000B11LF,J2,1017457000B11LF,C22466645,1
10k,"R101,R108,R109,R118,R119,R65,R82",R_0402_1005Metric,C25744,7
10uF,"C11,C18",C_0402_1005Metric,C15525,2
10uF,C9,C_0805_2012Metric,C15850,1
10uH,L2,L_0805_2012Metric,C1046,1
12pF,"C22,C24,C25,C28,C29",C_0402_1005Metric,C1547,5
1k,"R100,R102,R103,R107,R114",R_0402_1005Metric,C11702,5
1uF,C30,C_0805_2012Metric,C28323,1
1uF,"C20,C21",C_0402_1005Metric,C52923,2
2.2k,R110,R_0402_1005Metric,C25879,1
2.2uF,C5,C_0805_2012Metric,C377773,1
2002112100010C4LF,J4,2002112100010C4LF,C150517,1
22uF,"C32,C6",C_0805_2012Metric,C45783,2
24MHz,Y2,TSX-3225,C2650460,1
32.768kHz,Y1,FC135327680KAAG0,C7275970,1
4.7uF,C26,C_0805_2012Metric,C1779,1
640445-2,J5,CONN2_640445-2_TEC,C86497,1
9.09,"R10,R12,R14,R16,R18,R2,R20,R22,R24,R26,R28,R30,R32,R34,R36,R38,R4,R40,R42,R44,R46,R48,R50,R52,R54,R56,R58,R6,R60,R62,R64,R8",R_0402_1005Metric,C166420,32
BLM18HE152SN1,FL1,L_0603_1608Metric,C82155,1
CP2102N-A02-GQFN20R,U37,CP2102NA02GQFN20,C969913,1
LED,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D4,D5,D6,D7,D8,D9",GWJTLRS1EMLVL5XX531,C2830571,32
MMSZ5242BT1G,D39,SOD3716X135N,C82050,1
NCR321PASX,"U1,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U2,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U3,U30,U31,U32,U4,U5,U6,U7,U8,U9",NCR321PASX,C3190647,32
"PCA9685BS,118","U33,U34",QFN65P600X600X100-29N-D,C5191634,2
SMAJ15A,D38,D_SMA,C132950,1
SQJ415EP-T1_GE3,Q1,SOT_SQJ415EP_VIS,C6495662,1
TPD1E10B06DPYR,"D33,D34,D35",D_SOD-523,C48260,3
TPS62177DQC,U36,WSON-10-1EP_2x3mm_P0.5mm_EP0.84x2.4mm_ThermalVias,C91241,1
U.FL-R-SMT-1_80,J3,UFLRSMT180,C88374,1
VLMY1500-GS08,"D36,D37",LED_0402_1005Metric,C511605,2
W25X40CLUXIG_TR,U38,PSON50P300X200X60-9N,C401661,1
100uF,C3,CP_Elec_6.3x7.7,,1
Fuse,F1,FUSC6127X294N,,1
694106301002,J1,694106301002,,1
Conn_01x01,J6,,,1
Conn_01x01,J7,,,1
Conn_01x01,J8,,,1
Conn_01x01,J9,,,1
10uH,L1,WE-LHMI_4020,,1
2nH,L3,L_0402_1005Metric,,1
15nH,L7,L_0402_1005Metric,,1
pad,REF**,pad,,1
