Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,85.5,-48.65,180.0,top
C10,100nF,C_0402_1005Metric,96.1,-47.45,180.0,top
C11,10uF,C_0402_1005Metric,92.12,-45.3,0.0,top
C12,100nF,C_0402_1005Metric,103.41,-49.68,-45.0,top
C13,100nF,C_0402_1005Metric,104.98,-47.93,-90.0,top
C14,1.2pF,C_0402_1005Metric,111.7,-45.15,-90.0,top
C15,100nF,C_0402_1005Metric,105.31,-38.09,0.0,top
C16,100nF,C_0402_1005Metric,99.9,-38.1,0.0,top
C17,100nF,C_0402_1005Metric,101.87,-48.26,-90.0,top
C18,10uF,C_0402_1005Metric,94.1,-45.3,180.0,top
C19,100nF,C_0402_1005Metric,94.1,-46.35,180.0,top
C2,100nF,C_0402_1005Metric,97.25,-48.5,180.0,top
C20,1uF,C_0402_1005Metric,114.2,-52.175,180.0,top
C21,1uF,C_0402_1005Metric,97.18,-38.1,180.0,top
C22,12pF,C_0402_1005Metric,113.2,-45.59,180.0,top
C24,12pF,C_0402_1005Metric,109.35,-39.2,180.0,top
C25,12pF,C_0402_1005Metric,107.37,-39.2,0.0,top
C26,4.7uF,C_0805_2012Metric,71.7,-51.45,-90.0,top
C27,1.2pF,C_0402_1005Metric,108.7,-46.05,90.0,top
C28,12pF,C_0402_1005Metric,106.1,-49.45,-135.0,top
C29,12pF,C_0402_1005Metric,109.15,-52.85,45.0,top
C3,100uF,CP_Elec_6.3x7.7,64.75,-46.7,0.0,top
C30,1uF,C_0805_2012Metric,76.125,-51.45,-90.0,top
C31,100nF,C_0402_1005Metric,109.475,-59.9,-90.0,top
C32,22uF,C_0805_2012Metric,70.07,-57.63,180.0,top
C5,2.2uF,C_0805_2012Metric,67.08,-59.6,90.0,top
C6,22uF,C_0805_2012Metric,70.07,-55.4,180.0,top
C7,100nF,C_0402_1005Metric,116.35,-51.675,90.0,top
C8,100nF,C_0402_1005Metric,114.2,-51.1,180.0,top
C9,10uF,C_0805_2012Metric,73.9125,-51.45,-90.0,top
D1,LED,GWJTLRS1EMLVL5XX531,94.108983,-76.668645,-90.0,top
D10,LED,GWJTLRS1EMLVL5XX531,52.927839,-126.872912,11.25,top
D11,LED,GWJTLRS1EMLVL5XX531,55.329262,-134.749574,22.5,top
D12,LED,GWJTLRS1EMLVL5XX531,59.195573,-141.997039,33.75,top
D13,LED,GWJTLRS1EMLVL5XX531,64.435418,-148.370162,45.0,top
D14,LED,GWJTLRS1EMLVL5XX531,70.780588,-153.582054,56.25,top
D15,LED,GWJTLRS1EMLVL5XX531,78.040106,-157.462346,67.5,top
D16,LED,GWJTLRS1EMLVL5XX531,85.938698,-159.86646,78.75,top
D17,LED,GWJTLRS1EMLVL5XX531,94.108983,-160.668645,90.0,top
D18,LED,GWJTLRS1EMLVL5XX531,102.322912,-159.862161,101.25,top
D19,LED,GWJTLRS1EMLVL5XX531,110.17786,-157.462346,112.5,top
D2,LED,GWJTLRS1EMLVL5XX531,85.917088,-77.477839,-78.75,top
D20,LED,GWJTLRS1EMLVL5XX531,117.437377,-153.582054,123.75,top
D21,LED,GWJTLRS1EMLVL5XX531,123.820162,-148.354582,135.0,top
D22,LED,GWJTLRS1EMLVL5XX531,129.040656,-141.989986,146.25,top
D23,LED,GWJTLRS1EMLVL5XX531,132.919169,-134.729217,157.5,top
D24,LED,GWJTLRS1EMLVL5XX531,135.31646,-126.851302,168.75,top
D25,LED,GWJTLRS1EMLVL5XX531,136.121355,-118.658983,180.0,top
D26,LED,GWJTLRS1EMLVL5XX531,135.312161,-110.467088,-168.75,top
D27,LED,GWJTLRS1EMLVL5XX531,132.910737,-102.590426,-157.5,top
D28,LED,GWJTLRS1EMLVL5XX531,129.028415,-95.331692,-146.25,top
D29,LED,GWJTLRS1EMLVL5XX531,123.804582,-88.969838,-135.0,top
D3,LED,GWJTLRS1EMLVL5XX531,78.040106,-79.874943,-67.5,top
D30,LED,GWJTLRS1EMLVL5XX531,117.439986,-83.749343,-123.75,top
D31,LED,GWJTLRS1EMLVL5XX531,110.17786,-79.874943,-112.5,top
D32,LED,GWJTLRS1EMLVL5XX531,102.301302,-77.47354,-101.25,top
D33,TPD1E10B06DPYR,D_SOD-523,118.585,-59.175,-90.0,top
D34,TPD1E10B06DPYR,D_SOD-523,118.49,-56.2625,-90.0,top
D35,TPD1E10B06DPYR,D_SOD-523,118.49,-53.63,90.0,top
D36,VLMY1500-GS08,LED_0402_1005Metric,113.3,-59.3,-90.0,top
D37,VLMY1500-GS08,LED_0402_1005Metric,114.45,-59.3,-90.0,top
D38,SMAJ15A,D_SMA,83.7975,-36.99,180.0,top
D39,MMSZ5242BT1G,SOD3716X135N,89.0,-41.9,-90.0,top
D4,LED,GWJTLRS1EMLVL5XX531,70.781692,-83.761584,-56.25,top
D5,LED,GWJTLRS1EMLVL5XX531,64.419838,-88.985418,-45.0,top
D6,LED,GWJTLRS1EMLVL5XX531,59.199343,-95.350013,-33.75,top
D7,LED,GWJTLRS1EMLVL5XX531,55.315281,-102.599768,-22.5,top
D8,LED,GWJTLRS1EMLVL5XX531,52.92354,-110.488698,-11.25,top
D9,LED,GWJTLRS1EMLVL5XX531,52.118645,-118.681017,0.0,top
F1,Fuse,FUSC6127X294N,83.3,-32.9,0.0,top
FL1,BLM18HE152SN1,L_0603_1608Metric,78.65,-54.4,90.0,top
J1,694106301002,694106301002,71.0,-37.675,-90.0,top
J2,1017457000B11LF,1017457000B11LF,123.7375,-54.94,90.0,top
